country,country_code,Year,carbon_intensity,co2_per_capita,co2_total_mt,gdp_constant_2015_usd,urban_population_growth,urban_population_pct
Brazil,BRA,2000,0.294506081381515,2.00787868943563,349.4076,1186418964121.03,2.11961613870917,81.1484365423806
Brazil,BRA,2001,0.292072560832628,1.9928207750233,351.3367,1202908958645.15,1.85343169136034,81.5960450621957
Brazil,BRA,2002,0.283499396114186,1.96879630651915,351.437,1239639324869.85,1.72837458122615,81.9943491502673
Brazil,BRA,2003,0.276368332781879,1.91839410561756,346.5055,1253781489768.13,1.61792423832168,82.3540335841671
Brazil,BRA,2004,0.275498426857074,1.99978275095698,365.3106,1325998860202.27,1.52697920659059,82.6816824814559
Brazil,BRA,2005,0.269834444734221,1.99935674253319,369.2574,1368459094848.72,1.46073467565998,82.9838799596945
Brazil,BRA,2006,0.262664838127605,2.00204169117872,373.6873,1422677289673.84,1.39918487577637,83.2672101364439
Brazil,BRA,2007,0.260514959482657,2.08496718576573,393.1254,1509031960316.93,1.33735429441892,83.5382571292649
Brazil,BRA,2008,0.260287533355168,2.16839391882541,412.7913,1585904997750.07,1.2751176413848,83.8036050557184
Brazil,BRA,2009,0.243443985808256,2.00746250710986,385.5933,1583909738906.86,1.21281560260939,84.0698380333651
Brazil,BRA,2010,0.258298969239114,2.27112813109879,439.9219,1703150040806.99,1.16628221038283,84.343846036308
Brazil,BRA,2011,0.261820880289002,2.37418967936326,463.643,1770840429106.43,1.14373726656016,84.6225758599683
Brazil,BRA,2012,0.275868054307785,2.52901988702936,497.9036,1804861390164.77,1.13582229672967,84.8973874181312
Brazil,BRA,2013,0.281575553866694,2.63744450973958,523.4755,1859094274383.73,1.12835615908882,85.1676585442726
Brazil,BRA,2014,0.292453913272279,2.7310345760982,546.4394,1868463286696.58,1.11754171317172,85.4331367898168
Brazil,BRA,2015,0.287391716488527,2.56818858918394,517.9408,1802211999456.42,1.09609675577337,85.6935697061881
Brazil,BRA,2016,0.276915252342919,2.37533549789759,482.7112,1743173031878.48,1.05925972214881,85.9487048448108
Brazil,BRA,2017,0.280120414484441,2.41694955353585,494.7579,1766232928473.27,1.01821425229253,86.1982897571091
Brazil,BRA,2018,0.262042609581353,2.28562350357953,471.0836,1797736638146.82,0.965855875269478,86.4420719945072
Brazil,BRA,2019,0.25750605894179,2.25869881785082,468.5794,1819683008336.22,0.926629993198714,86.6797991084296
Brazil,BRA,2020,0.254492414982452,2.1466461829,447.921,1760056385298.89,0.845977299612384,86.9112186503004
Brazil,BRA,2021,0.274547774675226,2.41580858865319,506.2334,1843880907790.44,0.683749836538948,87.1360781715439
Brazil,BRA,2022,0.252311186269326,2.27889577215227,479.2664,1899505159031.73,0.604875020599164,87.349556243881
Brazil,BRA,2023,0.244882850575142,2.27447826989363,480.235,1961080569227.7,0.700463125537351,87.6159710235763
Brazil,BRA,2024,0.242325355443886,2.31826466114939,491.4688,2028136094548.34,0.724401697459186,87.8958549533146
China,CHN,2000,1.29124003028333,2.88907594771294,3647.8773,2825096197799.54,5.42936917155015,36.4320234662299
China,CHN,2001,1.2500449672447,3.00747564571294,3825.0579,3059936242478.58,4.04073839565183,37.6597442626953
China,CHN,2002,1.23641856373563,3.22795454545455,4133.073,3342778183071.46,4.39693854459371,39.0897827148438
China,CHN,2003,1.29668547088091,3.70467882645141,4773.1082,3681006926650.74,4.24156391258526,40.5302314758301
China,CHN,2004,1.35578118632061,4.24069749050016,5496.262,4053944733453.66,3.58304456989003,41.7600135803223
